Indicator Code,Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Member State Code,Member State Name,Time Period,Data,Flag
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2018,1.097,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2014,2.167,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PL,Poland,2018,9.073,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2008,11.726,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PL,Poland,2021,8.084,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2012,2.354,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IT,Italy,2014,3.31,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BG,Bulgaria,2021,5.425,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2008,2.637,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2016,1.271,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2008,2.499,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2010,3.827,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2010,3.028,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2008,2.932,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2010,2.37,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2014,8.194,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2014,1.306,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2010,2.712,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2009,2.418,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2012,11.027,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IT,Italy,2010,3.437,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2013,1.339,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2009,3.736,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2011,1.349,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2017,6.709,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IT,Italy,2008,3.364,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2015,1.393,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2013,2.849,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2013,1.339,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2017,4.302,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2011,8.183,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2018,0.953,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2012,7.713,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2009,2.696,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2019,2.084,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2016,4.623,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2019,0.896,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2020,1.093,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2020,0.891,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2020,3.964,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2014,8.021,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2017,1.177,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,MT,Malta,2008,1.513,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2015,6.551,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2020,2.072,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2018,2.422,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2014,2.637,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2011,1.521,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2012,7.915,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2015,4.693,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,MT,Malta,2012,0.866,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,AT,Austria,2022,3.21,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2010,7.991,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2009,8.649,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2010,2.693,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2015,1.286,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2021,0.913,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2014,9.152,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2012,2.721,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2013,5.064,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,MT,Malta,2009,1.129,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,AT,Austria,2021,3.439,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,MT,Malta,2010,0.984,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2009,8.039,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2018,1.149,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2018,1.843,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2021,1.098,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2016,1.208,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2021,3.462,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2015,2.702,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2013,7.387,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2011,1.226,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2021,3.911,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2019,1.818,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CZ,Czechia,2022,1.859,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2022,2.377,d
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2021,5.732,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2014,1.171,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2022,3.457,d
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2021,2.132,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2022,1.164,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2011,3.2,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,FR,France,2008,2.457,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2011,7.706,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2019,4.003,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BG,Bulgaria,2018,5.665,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2016,6.905,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2017,2.676,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2020,3.845,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2017,5.151,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2017,1.108,b
